time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2020/10/23/20:08:00.043976,430,1603480080,11098908,map,0.0884357841168,-0.000709459186807,0.00224917027887,0.0,-0.00350832699857,-0.0124679149626,0.999916117851
2020/10/23/20:08:00.082510,431,1603480080,44163908,map,0.0905162176606,-0.000768795907381,0.00225434439155,0.0,-0.00336081530956,-0.0124553598967,0.999916781002
2020/10/23/20:08:00.110685,432,1603480080,77894908,map,0.0923081693931,-0.000861049145734,0.00225049109819,0.0,-0.00339390587302,-0.0125756121708,0.999915164092
2020/10/23/20:08:00.143980,433,1603480080,110942908,map,0.093829493175,-0.00104179859308,0.00231343746236,0.0,-0.00339829359121,-0.0127246220101,0.999913264036
2020/10/23/20:08:00.177336,434,1603480080,144058908,map,0.095463511737,-0.00113079995011,0.0022861541571,0.000211431974008,-0.00351892937994,-0.0127847889812,0.999912056935
2020/10/23/20:08:00.211342,435,1603480080,177578908,map,0.0973307098294,-0.00133668303538,0.002294508249,0.000211431980304,-0.00356102340261,-0.0127941100383,0.999911788688
2020/10/23/20:08:00.244298,436,1603480080,210961908,map,0.0989523744635,-0.00142528727495,0.00239470461778,0.000211431981792,-0.00328457615095,-0.0132101291328,0.999907325378
2020/10/23/20:08:00.277475,437,1603480080,244278908,map,0.100897140721,-0.00148024246274,0.002362072743,0.000366210927718,-0.00367023832606,-0.0131621003361,0.999906572813
2020/10/23/20:08:00.311479,438,1603480080,277522908,map,0.103194541372,-0.00155304029822,0.0024294581023,0.000366210925071,-0.00336303154699,-0.0130632338337,0.99990894977
2020/10/23/20:08:00.343994,439,1603480080,310897908,map,0.104953036179,-0.00159426793567,0.00246513551417,0.000345266965294,-0.00337409053575,-0.0132467378992,0.999906505749
2020/10/23/20:08:00.377926,440,1603480080,344284908,map,0.107006739818,-0.0017390438915,0.00252478288089,0.000472776305657,-0.00345266986504,-0.0133269253642,0.999905119806
2020/10/23/20:08:00.411131,441,1603480080,377616908,map,0.109065720875,-0.00181942000858,0.0025574864652,0.000456745304408,-0.00337850399041,-0.0134886318333,0.999903212269
2020/10/23/20:08:00.444167,442,1603480080,411043908,map,0.111656359054,-0.00203025996543,0.00285900508324,0.000610351573288,-0.00356520555696,-0.0134249602023,0.99990333894
2020/10/23/20:08:00.477684,443,1603480080,444287908,map,0.114164812961,-0.00210886120656,0.00268544281402,0.00040486145458,-0.00410708105893,-0.0135942713236,0.999899076787
2020/10/23/20:08:00.511051,444,1603480080,477530908,map,0.11722300205,-0.0023269432793,0.00280176685064,0.000559396465222,-0.00335859790022,-0.0137782722204,0.999899277983
2020/10/23/20:08:00.544721,445,1603480080,510941908,map,0.120319113054,-0.00257954254601,0.00283049730678,0.000572560543831,-0.00326409734465,-0.0138209260688,0.999898994822
2020/10/23/20:08:00.578042,446,1603480080,544435908,map,0.123065312032,-0.00280003026196,0.00289336950803,0.00066860665415,-0.00324807963858,-0.0139432938858,0.999897288475
2020/10/23/20:08:00.611227,447,1603480080,577448908,map,0.125589627036,-0.00295546605955,0.00293157336105,0.000668606678939,-0.00323659026495,-0.0140624794808,0.999895656616
2020/10/23/20:08:00.644930,448,1603480080,611024908,map,0.127869826514,-0.00326427817551,0.00310712843099,0.000701240540551,-0.00331393343127,-0.0141433083349,0.999894240876
2020/10/23/20:08:00.677366,449,1603480080,644337908,map,0.129913300315,-0.00336857244055,0.00316340672128,0.000732421903232,-0.00378417983337,-0.0143841110126,0.999889114298
2020/10/23/20:08:00.711348,450,1603480080,677396908,map,0.132242992095,-0.00361054793118,0.00327545307353,0.00072217770805,-0.00365803796625,-0.0145212369383,0.999887609132
2020/10/23/20:08:00.744225,451,1603480080,710960908,map,0.134879764588,-0.00372170299588,0.0032941181203,0.000781631359687,-0.00397994121901,-0.014682982512,0.999883972841
2020/10/23/20:08:00.777632,452,1603480080,744259908,map,0.137939761965,-0.00393095925467,0.00331290029009,0.000701240534556,-0.0032663789095,-0.0148334266036,0.999884397561
2020/10/23/20:08:00.810953,453,1603480080,777440908,map,0.140366557077,-0.00437678739465,0.00379575318348,0.000827921166109,-0.00323659026086,-0.0148540058809,0.999884092052
2020/10/23/20:08:00.844407,454,1603480080,811068908,map,0.142966761422,-0.00449466750149,0.00366524755784,0.000634295900432,-0.00369048244519,-0.0152030227621,0.99987741554
